objectid,parentid,title,interviewees,creator,date,description,subject,subject_cdm,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,cdm_referenceurl,cdm_number,cdm_file,cdm_filepath,object_location,image_small,image_thumb,image_alt_text,object_transcript
chp1991031,chp199103,"Dian Hathaway, research essay",,,,,,,,,,,,text,application/pdf,,,,pdf,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/15,15,16.pdf,/tacomacomm/image/16.pdf,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/15/filename/chp1991031,,,,
chp1991032,chp199103,"Bob Gallucci, interview transcript",,,,,,,,,,,,text,application/pdf,,,,pdf,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/16,16,17.pdf,/tacomacomm/image/17.pdf,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/16/filename/chp1991032,,,,
chp1991033,chp199103,Project bibliography,,,,,,,,,,,,text,application/pdf,,,,pdf,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/17,17,18.pdf,/tacomacomm/image/18.pdf,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/17/filename/chp1991033,,,,
chp199110,,The Changing Peoples of Hilltop,"Walker, Charles","Treat, Michelle F.",1991,"Long-time resident Charles Walker reflects back on thirty years of Hilltop history and describes the areas shifting demographics during the 1960s, 70s, and 80s. A retired businessman, Walker focuses in particular on the K Street Business District and the local economic impact of the 1970s recession. He also comments on his work with the Tacoma Urban League, the Black Businessmen's Association, and the Now, Mr. Lincoln program.",African Americans; Tacoma; Civic leaders; 20th century; Hilltop,"Walker, Charles, 1928-1996--Interviews; African American businesspeople--Washington (State)--Tacoma Interviews; African American civic leaders--Washington (State)--Tacoma Interviews; African Americans--Washington (State)--Tacoma Interviews; Small business--Washington (State)--Tacoma; Neighborhoods--Washington (State)--Tacoma; Tacoma (Wash.)--20th century--History; Hilltop (Tacoma, Wash.)",Hilltop,47.24537592,-122.452731,Tacoma Community History Project,,record,compound_object,eng,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see http://content.lib.washington.edu/tacomacommweb/using-projects.html",compound_object,,,,,,,https://cdm16786.contentdm.oclc.org/utils/getthumbnail/collection/tacomacomm/id/,,
chp1991101,chp199110,"Michelle F. Treat, research essay",,,,,,,,,,,,text,application/pdf,,,,pdf,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/175,175,176.pdf,/tacomacomm/image/176.pdf,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/175/filename/chp1991101,,,,
chp1991102,chp199110,"Charles Walker, interview transcript",,,,,,,,,,,,text,application/pdf,,,,pdf,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/176,176,177.pdf,/tacomacomm/image/177.pdf,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/176/filename/chp1991102,,,,
chp1991103,chp199110,"Charles Walker, audio",,,,,,,,,,,,Sound,audio,,,,audio,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/177,177,178.mp3,/tacomacomm/image/178.mp3,https://cdm16786.contentdm.oclc.org/utils/getstream/collection/tacomacomm/id/177,,,,
chp199104,,Why Internment? The Story of Japanese-Americans During World War II,"Kosai, Joseph, 1934-1938","Mihara, Arlene",1991,"The interview recounts Joseph Kosai's personal experiences as a Japanese American citizen forced to evacuate his Tacoma, Washington residence on May 18, 1942 in response to the issuing of Executive Order 9066. Joseph, who was eight at the time, was transported with family members, first, to an assembly center in Pinedale, California, then to Tule Lake, where Kosai's extended family was dispersed and sent to different camps. Joseph, his mother, and younger sister were sent to the Minidoka Relocation Center in Idaho, where they would remain until May 17, 1945. In the interview, Kosai recalls his impressions of life in the internment camp. He also describes his readjustment after being released from Minidoka, as well as the impact of discrimination upon his subsequent educational and career opportunities. He also discusses his involvement in the national redress movement and other civil rights issues.",Japanese American Citizens' League; Civic leaders; Tacoma; Civil rights; Discrimination in education; Education; Japanese Americans; Evacuation and relocation; 20th century; Reparations; Race relations,"Kosai, Joseph, 1933-2008--Interviews; Minidoka Relocation Center--Personal narratives; Japanese American Citizens' League; Civic leaders--Washington (State)--Tacoma--Interviews; Civil rights workers--Washington (State)--Tacoma--Interviews; Discrimination in education--Washington (State)--Tacoma; Educators--Washington (State)--Tacoma--Interviews; Japanese Americans--Washington (State)--Tacoma--Interviews; Japanese Americans--Evacuation and relocation, 1942-1945--Personal narratives; Japanese Americans--Reparations--Personal narratives; Tacoma (Wash.)--Race relations",Japantown,47.24622308,-122.4403406,Tacoma Community History Project,,record,compound_object,eng,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see http://content.lib.washington.edu/tacomacommweb/using-projects.html",compound_object,,19,,,https://cdm16786.contentdm.oclc.org/digital/iiif/tacomacomm/19/full/max/0/default.jpg,https://cdm16786.contentdm.oclc.org/digital/iiif/tacomacomm/19/full/max/0/default.jpg,https://cdm16786.contentdm.oclc.org/utils/getthumbnail/collection/tacomacomm/id/19,,
chp1991040,chp199104,"Joseph Kosai, photograph",,,,,,,,,,,,Image;StillImage,image/jpeg,,,,image,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/19,19,20.jp2,/tacomacomm/image/20.jp2,https://cdm16786.contentdm.oclc.org/digital/iiif/tacomacomm/19/full/max/0/default.jpg,https://cdm16786.contentdm.oclc.org/digital/iiif/tacomacomm/19/full/max/0/default.jpg,https://cdm16786.contentdm.oclc.org/utils/getthumbnail/collection/tacomacomm/id/19,,
chp1991041,chp199104,"Arlene Mihara, research essay",,,,,,,,,,,,text,application/pdf,,,,pdf,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/20,20,21.pdf,/tacomacomm/image/21.pdf,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/20/filename/chp1991041,,,,
chp1991042,chp199104,"Joseph Kosai, interview transcript",,,,,,,,,,,,text,application/pdf,,,,pdf,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/21,21,22.pdf,/tacomacomm/image/22.pdf,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/21/filename/chp1991042,,,,
chp1991043,chp199104,"Joseph Kosai (Tape 1), audio",,,,,,,,,,,,Sound,audio,,,,audio,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/22,22,23.mp3,/tacomacomm/image/23.mp3,https://cdm16786.contentdm.oclc.org/utils/getstream/collection/tacomacomm/id/22,,,,
chp1991044,chp199104,"Joseph Kosai (Tape 2), audio",,,,,,,,,,,,Sound,audio,,,,audio,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/23,23,24.mp3,/tacomacomm/image/24.mp3,https://cdm16786.contentdm.oclc.org/utils/getstream/collection/tacomacomm/id/23,,,,
chp1991045,chp199104,Project bibliography,,,,,,,,,,,,text,application/pdf,,,,pdf,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/24,24,25.pdf,/tacomacomm/image/25.pdf,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/24/filename/chp1991045,,,,
chp199109,,The Slavic Fishermen of the Puget Sound,"Tarabochia, Dominic J.; Tarabochia, Rose J.","Tennison, Penny M.",1991,"The joint interview with married couple, Nick and Rose Tarabochia, covers their family life and early struggles to earn a living and raise a family during the Depression. Among the topics discussed by Nick Tarabochia are: his childhood in Brookville, Washington, the life of a fisherman in the Pacific Northwest (including a consideration of purse seine fishing versus gill netting), and Native American fishing rights. Subjects covered by Rose Tarabochia include: her upbringing, her self-reliance as a fisherman's wife, and her real estate acumen.",Croation Americans; Gig Harbor; Fishing; Economic conditions; Social conditions; Yugoslav Americans; Social life and customs,"Tarabochia, Dominic J.--Interviews; Tarabochia, Rose J.--Interviews; Croatian Americans--Washington (State)--Gig Harbor--Interviews; Fishers--Washington (State)--Gig Harbor--Interviews; Fishers' spouses--Washington (State)--Gig Harbor--Interviews; Fishers' spouses--Washington (State)--Gig Harbor--Economic conditions; Fishers' spouses--Washington (State)--Gig Harbor--Social conditions; Purse seining; Real estate developers--Washington (State)--Gig Harbor--Interviews; Yugoslav Americans--Washington (State)--Gig Harbor--Interviews; Gig Harbor (Wash.)--Social life and customs",Kitsap County,47.56378246,-122.6285259,Tacoma Community History Project,,record,compound_object,eng,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see http://content.lib.washington.edu/tacomacommweb/using-projects.html",compound_object,,453,,,https://cdm16786.contentdm.oclc.org/digital/iiif/tacomacomm/453/full/max/0/default.jpg,https://cdm16786.contentdm.oclc.org/digital/iiif/tacomacomm/453/full/max/0/default.jpg,https://cdm16786.contentdm.oclc.org/utils/getthumbnail/collection/tacomacomm/id/453,,
chp1991091,chp199109,"Dominic J. Tarabochia, photograph",,,,,,,,,,,,Image;StillImage,image/jpeg,,,,image,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/453,453,454.jp2,/tacomacomm/image/486.jp2,https://cdm16786.contentdm.oclc.org/digital/iiif/tacomacomm/453/full/max/0/default.jpg,https://cdm16786.contentdm.oclc.org/digital/iiif/tacomacomm/453/full/max/0/default.jpg,https://cdm16786.contentdm.oclc.org/utils/getthumbnail/collection/tacomacomm/id/453,,
chp1991092,chp199109,"Penny M. Tennison, research essay",,,,,,,,,,,,text,application/pdf,,,,pdf,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/454,454,455.pdf,/tacomacomm/image/487.pdf,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/454/filename/chp1991092,,,,
chp1991093,chp199109,"Dominic and Rose Tarabochia, interview transcript",,,,,,,,,,,,text,application/pdf,,,,pdf,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/455,455,456.pdf,/tacomacomm/image/488.pdf,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/455/filename/chp1991093,,,,
chp1991094,chp199109,Project bibliography,,,,,,,,,,,,text,application/pdf,,,,pdf,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/456,456,457.pdf,/tacomacomm/image/489.pdf,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/456/filename/chp1991094,,,,
chp199101,,A Brief Study of Land Use by Indian and Pioneer Communities on the Key Peninsula,"Otto, Bill, 1900-","Aprile, Megan",1991,"The interview discusses Bill Otto's family and German heritage, his work in the lumber industry and as a family farmer. He also describes childhood activities in Longbranch, Washington, including playing baseball on a championship youth league baseball team in Pierce County.",Key Peninsula; Farmers; German Americans; Pierce County; Social life and custorms; 20th century; Longbranch; Athletics,"Otto, Bill, 1900- --Interviews; Pioneers--Washington (State)--Key Peninsula--Interviews; Family farms--Washington (State)--Key Peninsula; German Americans--Washington (State)--Key Peninsula; Logging--Washington (State)--Key Peninsula; Youth league baseball--Washington (State)--Pierce County; Key Peninsula (Wash.)--Social life and customs--20th century; Longbranch (Wash.)--Social life and customs--20th century; Pierce County (Wash.)--Social life and customs--20th century",Longbranch,47.2122035,-122.7434794,Tacoma Community History Project,,record,compound_object,eng,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see http://content.lib.washington.edu/tacomacommweb/using-projects.html",compound_object,,,,,,,https://cdm16786.contentdm.oclc.org/utils/getthumbnail/collection/tacomacomm/id/,,
chp1991011,chp199101,"Megan Aprile, research essay",,,,,,,,,,,,text,application/pdf,,,,pdf,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/10,10,11.pdf,/tacomacomm/image/11.pdf,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/10/filename/chp1991011,,,,
chp1991012,chp199101,"Bill Otto, interview transcript",,,,,,,,,,,,text,application/pdf,,,,pdf,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/11,11,12.pdf,/tacomacomm/image/12.pdf,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/11/filename/chp1991012,,,,
chp1991013,chp199101,Project bibliography,,,,,,,,,,,,text,application/pdf,,,,pdf,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/13,13,14.pdf,/tacomacomm/image/14.pdf,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/13/filename/chp1991013,,,,
chp1991014,chp199101,"Bill Otto, audio",,,,,,,,,,,,Sound,audio,,,,audio,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/12,12,13.mp3,/tacomacomm/image/13.mp3,https://cdm16786.contentdm.oclc.org/utils/getstream/collection/tacomacomm/id/12,,,,
chp199112,,An Interview with Luke Joinette,"Joinette, Luke, 1908-","Pierce, Cyndi",1991,"Luke Joinette, former Executive Board member and secretary-treasurer for the Tacoma chapter of the Hotel and Restaurant Employees and Bartenders International League, discusses his work with the Local 61 labor union. Recounting the events surrounding the unions 1969 strike, Joinette reflects on the confrontations between picketers and employers and between the local chapter and its national affiliate. He concludes with some thoughts on the current state of the Local 8, the newest incarnation of the Local 61, and on the unions sharp decline in membership since the 1970s.",Tacoma; Labor movement; Labor unions; Strikes and lockouts; 20th century,"Joinette, Luke, 1908-1995--Interviews; Hotel & Restaurant Employees and Bartenders International Union. Local 61 (Tacoma, Wash.); Hotel & Restaurant Employees and Bartenders International Union. Local 8 (Tacoma, Wash.); Labor union members--Washington (State)--Tacoma--Interviews; Labor union members--Washington (State)--Tacoma; Labor movement--Washington (State)--Tacoma; Labor unions--Washington (State)--Tacoma; Strikes and lockouts--Washington (State)--Tacoma",Pierce County,47.22648533,-122.4762017,Tacoma Community History Project,,record,compound_object,eng,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see http://content.lib.washington.edu/tacomacommweb/using-projects.html",compound_object,,179,,,https://cdm16786.contentdm.oclc.org/digital/iiif/tacomacomm/179/full/max/0/default.jpg,https://cdm16786.contentdm.oclc.org/digital/iiif/tacomacomm/179/full/max/0/default.jpg,https://cdm16786.contentdm.oclc.org/utils/getthumbnail/collection/tacomacomm/id/179,,
chp1991121,chp199112,"Luke Joinette, photograph",,,,,,,,,,,,Image;StillImage,image/jpeg,,,,image,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/179,179,180.jp2,/tacomacomm/image/180.jp2,https://cdm16786.contentdm.oclc.org/digital/iiif/tacomacomm/179/full/max/0/default.jpg,https://cdm16786.contentdm.oclc.org/digital/iiif/tacomacomm/179/full/max/0/default.jpg,https://cdm16786.contentdm.oclc.org/utils/getthumbnail/collection/tacomacomm/id/179,,
chp1991122,chp199112,"Cyndi Pierce, research essay",,,,,,,,,,,,text,application/pdf,,,,pdf,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/180,180,181.pdf,/tacomacomm/image/181.pdf,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/180/filename/chp1991122,,,,
chp1991123,chp199112,"Luke Joinette, interview transcript",,,,,,,,,,,,text,application/pdf,,,,pdf,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/181,181,182.pdf,/tacomacomm/image/182.pdf,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/181/filename/chp1991123,,,,
chp199107,,The Tacoma Rescue Mission: Hope for the Homeless,"Ellis, Joseph N.; Jeffrey, Diana K.","Saunders, Patti R.",1991,"The oral history interview transcript contains interviews with Joe Ellis, Executive Director of the Tacoma Rescue Mission and Diana K. Jeffery, Administrative Assistant at the Mission. Ellis gives a brief background on his life and training, as well as an overview of the history of the Tacoma Rescue Mission, including some discussion of the work and character of the superintendents who preceded him (C. M. Shaughnessy, Ray L. Marvin and G. Hanley Barker). Ellis describes the programs and services provided by the Tacoma Rescue Mission in some detail. Jeffery recounts her ten years of service with the Mission, where she started as the manager of the emergency family shelter. She describes her direct work with the clients and refers to some individuals who apparently were present at the time her interview was recorded. In addition to those for Ellis and Jeffery, release forms are included for five participants from the """"New Life"""" program who also were interviewed, as well as another Mission staff member, but these interviews are not contained in the transcript.",Religious missions; Housless persons; Social conditions; Tacoma; 19th century; 20th century,"Tacoma Rescue Mission; Ellis, Joseph N.--Interviews; Jeffery, Diana K.--Interviews; Barker, G. Hanley; Marvin, Raymond L.; Shaughnessy, C. M., (Cornelius Mack), . b. 1895.; Smith, Gipsy, 1860-1947.; Rescue missions (Church work)--Officials and employees--Washington (State)--Tacoma--Interviews; City missions--Washington (State)--Tacoma; Church work with the poor--Washington (State)--Tacoma; Homeless persons--Services for--Washington (State)--Tacoma; Rescue missions (Church work)--Washington (State)--Tacoma; Shelters for the homeless--Washington (State)--Tacoma; Tacoma (Wash.)--Social conditions",Union Station District,47.24507452286103,-122.43565236909946,Tacoma Community History Project,,record,compound_object,eng,http://rightsstatements.org/vocab/InC-EDU/1.0/,"Individuals may use project materials for scholarly or research purposes, according to the provisions of fair use, but reproducing, publishing, or broadcasting any oral history project materials requires permission. For more information, see http://content.lib.washington.edu/tacomacommweb/using-projects.html",compound_object,,,,,,,https://cdm16786.contentdm.oclc.org/utils/getthumbnail/collection/tacomacomm/id/,,
chp1991071,chp199107,"Patti R. Saunders, research essay",,,,,,,,,,,,text,application/pdf,,,,pdf,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/45,45,46.pdf,/tacomacomm/image/46.pdf,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/45/filename/chp1991071,,,,
chp1991072,chp199107,"Joseph N. Ellis, interview transcript",,,,,,,,,,,,text,application/pdf,,,,pdf,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/46,46,47.pdf,/tacomacomm/image/47.pdf,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/46/filename/chp1991072,,,,
chp1991073,chp199107,"Diana K. Jeffrey, interview transcript",,,,,,,,,,,,text,application/pdf,,,,pdf,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/47,47,48.pdf,/tacomacomm/image/48.pdf,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/47/filename/chp1991073,,,,
chp1991074,chp199107,"Joseph N. Ellis, video",,,,,,,,,,,,Video,video,,,,video,http://cdm16786.contentdm.oclc.org/cdm/ref/collection/tacomacomm/id/48,48,49.mp4,/tacomacomm/image/49.mp4,https://cdm16786.contentdm.oclc.org/utils/getfile/collection/tacomacomm/id/48/filename/chp1991074,,,,
